role_code,description,priority
COP,"Police forces, officers, criminal investigative units, protective agencies",primary
GOV,"Government: the executive, governing parties, coalitions partners, executive divisions",primary
INS,Insurgents (rebels): all rebels who attempt to overthrow their national government,primary
JUD,"Judiciary: judges, courts",primary
MIL,"Military: troops, soldiers, all state-military personnel/equipment",primary
OPP,"Political opposition: opposition parties, individuals, anti-government activists",primary
REB,"Rebels: armed and violent opposition groups, individuals",primary
SEP,Separatist rebels: all rebels who try to emancipate their region from its country,primary
SPY,State intelligence services and members including covert operations groups as well as intelligence collection and analyses,primary
UAF,Armed forces aligned neither with nor against their government,primary
PTY,"Party: legal, non-violent political organizations that field candidates for election (appended immediately after OPP or GOV)",primary-special
AGR,Agriculture: individuals and groups involved in the practices of crop cultivation including government agencies whose primary concern is agricultural issues,secondary
BUS,"Business: businessmen, companies, and enterprises, not including MNCs",secondary
CRM,Criminal: individuals involved in or allegedly involved in the deliberate breaking of state or international laws primarily for profit,secondary
CVL,Civilian individuals or groups sometimes used as catch-all for individuals or groups for whom no other role category is appropriate,secondary
DEV,"Development: individuals or groups concerned primarily with development issues of varying types including infrastructure creation, democratization et al.",secondary
EDU,"Education: educators, schools, students, or organizations dealing with education",secondary
ELI,"Elites: former government officials, celebrities, spokespersons for organizations without further role categorization",secondary
ENV,"Environmental: entities for whom environmental and ecological issues are their primary focus, includes wildlife preservation, climate change, etc.",secondary
HLH,"Health: individuals, groups and organizations dealing with health and social welfare practices",secondary
HRI,Human Rights: actors for whom their primary area of operation or expertise is with documenting and/or correcting human rights concerns,secondary
LAB,"Labor: specifically individuals in or elements of organized labor, organizations concerned with labor issues",secondary
LEG,"Legislature: parliaments, assemblies, lawmakers, references to specific legislative entities or sub-entities such as committees",secondary
MED,"Media: journalists, newspapers, television stations also includes providers of internet services and other forms of mass information dissemination",secondary
REF,Refugees: also refers to agencies or MNCs dealing with population migration and relocation issues,secondary
MOD,"Moderate: ""moderate,"" ""mainstream,"" etc.",tertiary
RAD,"Radical: ""radical,"" ""extremist,"" ""fundamentalist,"" etc.",tertiary
